LANGUAGE,English,French,Italian,Spanish,German,Czech,Polish,Russian,Comment
STRCN_21,Guardian,Guardian,Guardian,Guardian,Guardian,Ochrбnce,Straїnik,Страж, Name of the mission

STRCN_22,Return To Eden,Return To Eden,Return To Eden,Return To Eden,Return To Eden,Nбvrat do rбje,Powrуt do Edenu,Возвращение в рай, Name of the mission

STRCN_23,Hind Attack,Hind Attack,Hind Attack,Hind Attack,Hind Attack,Noиnн lov,Atak Hinda,Атака с воздуха, Name of the mission

STRCN_24,Rolling Thunder,Rolling Thunder,Rolling Thunder,Rolling Thunder,Rolling Thunder,Burбcejнcн hrom,Piorun,Громовержец, Name of the mission

STRCN_25,Airborne,Airborne,Airborne,Airborne,Airborne,V oblacнch,W locie,Налет, Name of the mission

STRCN_26,Air Superiority,Air Superiority,Air Superiority,Air Superiority,Air Superiority,Vzduљnб pшevaha,Przewaga w powietrzu,Превосходство в воздухе, Name of the mission

STRCN_27,Recon,Recon,Recon,Recon,Recon,Vyzvмdaи,Na zwiadzie,Разведка, Name of the mission

STRCN_28,Killdozer,Killdozer,Killdozer,Killdozer,Killdozer,Ћeleznб nedмle,Zabijaka,Побоище, Name of the mission

STRCN_29,Air Assault,Air Assault,Air Assault,Air Assault,Air Assault,Vzduљnэ ъtok,Szturm powietrzny,Удар с воздуха, Name of the mission

STRCN_30,Wake-up Call,Wake-up Call,Wake-up Call,Wake-up Call,Wake-up Call,Budниek,Telefon wyrywa ze snu,На рассвете, Name of the mission

STRCN_31a,Planes Start,Planes Start,Planes Start,Planes Start,Planes Start,Letadla startujн,Samoloty startuj№,Начало планов, Name of the mission

STRCN_31b,Maverick,Maverick,Maverick,Maverick,Maverick,Maverick,Maverick,Бродяга, Name of the mission

STRCN_32,Counter Strike,Counter Strike,Counter Strike,Counter Strike,Counter Strike,Protiъder,Kontratak,Контрудар, Name of the mission

STRCN_33a,Escape From Prison,Escape From Prison,Escape From Prison,Escape From Prison,Escape From Prison,Ъtмk ze zajetн,Ucieczka z wiкzienia,Побег из плена, Name of the mission

STRCN_33b,North Star,North Star,North Star,North Star,North Star,Polбrka,Gwiazda polarna,Полярная звезда, Name of the mission

STRCN_33c,Night,Night,Night,Night,Night,Noc,Noc,Ночь, Name of the mission

STRCN_34,Incursion,Incursion,Incursion,Incursion,Incursion,Hledaи pokladщ,Inwazja,Вторжение, Name of the mission

STRCN_35,Search And Destroy,Search And Destroy,Search And Destroy,Search And Destroy,Search And Destroy,Najнt a zniиit,Znaleџж i zniszczyж,Найти и уничтожить, Name of the mission

STRCN_36,Red Dawn,Red Dawn,Red Dawn,Red Dawn,Red Dawn,Rudэ ъsvit,Czerwony њwit,Красная заря, Name of the mission

STRC_L01,"HEY, ARMSTRONG! WHERE DO YOU THINK YOU ARE GOING? FALL BACK INTO FORMATION.","HE, ARMSTRONG ! OU EST-CE QUE VOUS ALLEZ COMME ЗA ? RETOURNEZ EN FORMATION.","ЎEH, ARMSTRONG! їADУNDE SE CREE QUE VA? VUELVA A LA FORMACIУN.","EHI, ARMSTRONG! DOVE CREDE DI ANDARE? RIPIEGHI SUBITO IN FORMAZIONE.","HEY, ARMSTRONG! WO LAUFEN SIE DENN HIN? LOS, ZURЬCK IN FORMATION!","HEJ, ARMSTRONGU! KAM SI MYSLНTE, ЋE JDETE? PADEJTE ZPБTKY DO FORMACE.","HEJ, ARMSTRONG! GDZIE IDZIESZ? DO SZYKU! BIEGIEM!","ЭЙ, АРМСТРОНГ, КУДА ЭТО ТЫ СОБРАЛСЯ? НАЗАД, В СТРОЙ.",HQ

STRC_L02,"HEY, GASTOVSKI! WHERE DO YOU THINK YOU ARE GOING? FALL BACK INTO FORMATION.","HE, GASTOVSKI ! OU EST-CE QUE VOUS ALLEZ COMME ЗA ? RETOURNEZ EN FORMATION.","ЎEH, GASTOVSKI! їADУNDE SE CREE QUE VA? VUELVA A LA FORMACIУN.","EHI, GASTOVSKI! DOVE CREDE DI ANDARE? RIPIEGHI SUBITO IN FORMAZIONE.","HEY, GASTOVSKI! WO LAUFEN SIE DENN HIN? LOS, ZURЬCK IN FORMATION!","HEJ, GASTOVSKI! KAM SI MYSLНTE, ЋE JDETE? PADEJTE ZPБTKY DO FORMACE.","HEJ, GASTOVSKI! DOKҐD SIК WYBIERASZ? WRACAJ DO SZYKU.","ЭЙ, ГАСТОВСКИ, КУДА ЭТО ТЫ СОБРАЛСЯ? НАЗАД, В СТРОЙ.",HQ

STRC_L03,"HEY, HAMMER! WHERE DO YOU THINK YOU ARE GOING? FALL BACK INTO FORMATION.","HE, HAMMER ! OU EST-CE QUE VOUS ALLEZ COMME ЗA ? RETOURNEZ EN FORMATION.","ЎEH, HAMMER! їADУNDE SE CREE QUE VA? VUELVA A LA FORMACIУN.","EHI, HAMMER! DOVE CREDE DI ANDARE? RIPIEGHI SUBITO IN FORMAZIONE.","HEY, HAMMER! WO LAUFEN SIE DENN HIN? LOS, ZURЬCK IN FORMATION!","HEJ, HAMMERE! KAM SI MYSLНTE, ЋE MНШНTE? PADEJTE ZPБTKY DO FORMACE.","HEJ, HAMMER! GDZIE TY SOBIE IDZIESZ? WRACAJ DO SZYKU.","ЭЙ, ХАММЕР, КУДА ЭТО ТЫ СОБРАЛСЯ? НАЗАД, В СТРОЙ.",HQ

STRC_L04,"HEY, NICHOLLS! WHERE DO YOU THINK YOU ARE GOING? FALL BACK INTO FORMATION.","HE, NICHOLLS ! OU EST-CE QUE NICHOLLS ALLEZ COMME ЗA ? RETOURNEZ EN FORMATION.","ЎEH, NICHOLLS! їADУNDE SE CREE QUE VA? VUELVA A LA FORMACIУN.","EHI, HAMMER! DOVE CREDE DI ANDARE? RIPIEGHI SUBITO IN FORMAZIONE.","HEY, NICHOLLS! WO LAUFEN SIE DENN HIN? LOS, ZURЬCK IN FORMATION!","HEJ, NICHOLLSI! KAM SI MYSLНTE, ЋE MНШНTE? PADEJTE ZPБTKY DO FORMACE.","HEJ, NICHOLLS! GDZIE ЈAZISZ? WRACAJ DO SZYKU. ","ЭЙ, НИКОЛЛС, КУДА ЭТО ТЫ СОБРАЛСЯ? НАЗАД, В СТРОЙ.",HQ

STRC_L08,"WHAT THE HELL ARE YOU DOING OUT THERE, SOLDIER? DIDN'T YOU READ THE MISSION PLAN?","MAIS QU'EST-CE QUE VOUS FABRIQUEZ, SOLDAT? VOUS N'AVEZ PAS LU LE PLAN DE MISSION, OU QUOI?","їPERO QUЙ DEMONIOS HACE AHН FUERA, SOLDADO? їES QUE NO SE HA LEНDO EL PLAN DE LA MISIУN?","COSA DIAVOLO STAI COMBINANDO LА FUORI, SOLDATO? NON HAI LETTO IL PIANO DELLA MISSIONE?","WAS ZUM TEUFEL MACHEN SIE DA, SOLDAT? HABEN SIE DEN EINSATZPLAN NICHT GELESEN?","CO TO TAM, K SAKRU, PROБVDНTE, VOJБKU? NEИETL JSTE PLБN MISE?","CO TY TAM ROBISZ, ЇOЈNIERZU? NIE CZYTAЈEЊ PLANU MISJI?","КАКОГО ЧЕРТА ТЫ ТУТ ДЕЛАЕШЬ, СОЛДАТ? ТЫ ЧТО НЕ СЛУШАЛ ИНСТРУКТАЖ?",HQ

STRC_L09,"DAMMIT, SOLDIER, WHO DO YOU THINK YOU ARE? YOU HAVE YOUR ORDERS - FOLLOW THEM!","BON DIEU, SOLDAT, POUR QUI VOUS PRENEZ-VOUS ? VOUS AVEZ REЗU VOS ORDRES, ALORS OBEISSEZ !","MALDITA SEA, SOLDADO, їQUIЙN SE HA CREНDO QUE ES? ЎSI LE HAN DADO ORDENES ES PARA QUE LAS OBEDEZCA!","DANNAZIONE, SOLDATO, CHI TI CREDI DI ESSERE? HAI DEGLI ORDINI, QUINDI ESEGUILI!","WOFЬR HALTEN SIE SICH EIGENTLICH? SIE HABEN IHRE BEFEHLE, SOLDAT, ALSO HALTEN SIE SICH DRAN!","ZATRACENМ, VOJБKU, KDO SI MYSLНTE, ЋE JSTE? MБTE SVЙ ROZKAZY - DRЋTE SE JICH!","SZLAG BY TO..., ЇOЈNIERZU, CO TY SOBIE MYЊLISZ? MASZ ROZKAZY, TO JE WYPEЈNIAJ!","ПРОКЛЯТЬЕ, СОЛДАТ, КАК ТЫ ДУМАЕШЬ, ЧТО ТЕБЕ НАДО ДЕЛАТЬ? У ТЕБЯ ЕСТЬ ПРИКАЗ -\nИСПОЛНЯЙ ЕГО. НЕМЕДЛЕННО!",HQ

STRC_L05,"Goddammit, I don't recognise this at all! Where am I?","Nom de Dieu, je ne reconnais rien ici ! Oщ suis-je ?","Maldita sea, Ўno reconozco el sitio! їDуnde estoy?","Dannazione, non riconosco affatto questo posto! Dove sono finito?","Verdammter Mist, ich erkenne hier ьberhaupt nichts! Wo bin ich?","K иertu, vщbec to tu nepoznбvбm! Kde to jsem?","Do cholery, wcale tego nie poznajк! Gdzie ja jestem?",Проклятье! Я не узнаю эти места! Где я?, Armstrong

STRC_L06,This is all wrong. I really should check my mission plan...,Il y a un problиme. Il faudrait vraiment que je consulte le plan de mission...,Esto se estб poniendo muy mal. Deberнa de echarle un vistazo al plan de la misiуn...,Sta andando tutto storto. Dovrei davvero controllare il piano della missione...,Das stimmt alles nicht. Am besten sehe ich mal in den Einsatzplan...,Vљechno љpatnм. Fakt bych si mмl prostudovat plбn mise...,Wszystko nie tak. Naprawdк powinienem przeczytaж mуj plan misji...,Что-то не так. Надо свериться с планом..., Hammer

STRC_L06a,This doesn't look right. I should check my mission plan...,Зa n'a pas l'air d'кtre зa. Il faudrait vraiment que je jette un coup d'њil au plan de mission...,Esto no tiene buena pinta. Deberнa de echarle un vistazo al plan de la misiуn...,C'и qualcosa che non va. Dovrei controllare il piano della missione...,"Ich glaube, hier bin ich falsch. Ich sehe mal in den Einsatzplan...",To nevypadб dobшe. Asi bych se mмl podнvat do plбnu mise...,To nie wygl№da zbyt dobrze. Powinienem przeczytaж mуj plan misji...,Что-то идет не так. Надо свериться с планом..., Nicholls

STRC_L07,"Goddammit, where's my map? Surely this can't be the right way...","Bon sang, oщ ai-je mis ma carte ? Je dois кtre en train de faire fausse route...","Maldita sea, їdуnde tengo el mapa? Seguro que йste no es el camino...","Dannazione, dov'и la mia mappa? Sto sicuramente sbagliando direzione...",Wo zum Teufel ist meine Karte? Das kann doch nicht stimmen...,"Zatracenм, kde mбm mapu? Tohle stoprocentм nenн sprбvnб cesta...",Gdzie do diabіa jest moja mapa? To na pewno nie tкdy...,"Проклятье! Где моя карта? Я, определенно, сбился с пути...",Gastovski

STRC_Insert,Insertion point,Point d'insertion,Punto di inserimento,Punto de inserciуn,Ausgangspunkt,Poибteиnн pozice,Punkt startowy,Дислокация,MARKER

STRC_Destroy,Destroy,Dйtruire,Destrъyalos,Distruggere, Zerstцren,Zniиit,Zniszcz,Уничтожить, MARKER

STRC_Go,Go here,Allez ici,Venga aquн,Andare qui,Hingehen MARKER,Pшesun,Idџ tam,Следуйте сюда,

STRC_Seize,Seize,Prendre d'assaut,Occupa,Ocupar,Erobern,Obsadit,Obsadџ,Занять, MARKER

STRC_End,Meeting point,Point de rendez-vous,Punto di incontro,Punto de encuentro,Treffpunkt,Mнsto setkбnн,Miejsce spotkania,Рандеву, MARKER

STRC_Meeting,Meeting point,Point de rendez-vous,Punto di incontro,Punto de encuentro,Treffpunkt,Mнsto setkбnн,Miejsce spotkania,Рандеву, MARKER

STRC_Completed,Mission completed,Mission accomplie,Missione compiuta,Misiуn cumplida,Einsatz abgeschlossen,Mise splnмna,Misja wypeіniona,Миссия завершена, Title

STRC_Failed,Mission failed,Echec de la mission,Missione fallita,Misiуn fallida,Einsatz gescheitert,Mise nesplnмna,Misja przegrana,Миссия провалена, Title

STRC_Succesfull,Mission successful,Mission accomplie,Missione compiuta,Misiуn cumplida,Einsatz abgeschlossen,Mise ъspмљnб,Misja wygrana,Миссия выполнена, Title

STRC_Defeated,Enemy forces defeated,Les forces ennemies ont йtй vaincues,Ha derrotado a las fuerzas enemigas,Le forze nemiche sono state sconfitte,Gegnerische Krдfte besiegt,Nepшбtelskй sнly poraћeny,Wrogie siіy zostaіy pokonane,Вражеские силы уничтожены, Title

STRC_Obey,Mission failed\nYou didn't obey your orders,Йchec de la mission\nVous n'avez pas obйi aux ordres,Misiуn fallida\nDesobedeciу las уrdenes,Missione fallita\nNon hai obbedito agli ordini,Einsatz gescheitert\nSie haben Sich nicht an Ihre Befehle gehalten,Mise nesplnмna. Nedrћel jsi se rozkazщ,Misja przegrana\nNie wypeіniіeњ rozkazуw,Миссия провалена \nВы не выполняли приказы., Title

Comment," "" ------------ added later -------------""",,,,, ------------ added later -------------, ------------ added later -------------," "" ------------ added later -------------""",

STRCN_38,Status Quo,Status Quo,Status Quo,Status Quo,Status Quo,Status Quo,Status Quo,Статус-кво, Name of the mission

STRCN_CUT,<Cutscene>,<Sйquence de transition>,<Escena>,<Intermezzo>,<Schnittszene>,<pшedмlovб scйna>,<scenka>,<Ролик>,Name in notes
