LANGUAGE,English,German,French,Italian
STRNG_76,拿一些地雷.,Nehmen Sie sich einige Minen.,Prenez quelques mines.,Prenda alcune mine.
STRNG_77,起义被平息了 - 任务失败.,"Widerstand niedergeschlagen, die Mission ist gescheitert.",R閟istance battue - mission 閏hou閑.,Ribellione sconfitta - Missione fallita.
STRNG_101,油料补给,Treibstoffdepot,D閜魌 de carburant,Deposito di carburante
STRNG_102,那是我们的第一个目标: 车队.他们将在几分钟内启程前往La Pessagne.,Das ist unser Ziel: der Konvoi. Er wird in wenigen Minuten nach La Pessagne aufbrechen.,Voil?notre but : le convoi. Il va se mettre en route pour La Pessagne dans quelques minutes.,Questo ?il nostro obiettivo: Il convoglio. Partir?fra qualche minuto per La Pessagne.
STRNG_103,注意.我们已经看见敌人了...,Vorsicht ist geboten. Es wurden mehrere gegnerischen Trupps gesichtet...,Faites pourtant attention. De nombreuses troupes adversaires ont 閠?aper鐄es...,Attenzione. Sono state avvistate molte truppe del nemico...
STRNG_104,先生.这是计划.,"Also M鋘ner, das ist unsere Aufgabe:",Bon les gars. Voil?notre plan.,Allora uomini qui c'?il piano.
STRNG_105,我们必须偷到卡车，因为他对我们未来的行动来说是无价的.,Wir stehlen die LKW`s. Sie sind f黵 uns von ungeheurer Wichtigkeit.,Nous allons devoir voler les camions 閠ant donn?qu'ils vont 阾re d'une valeur inestimable pour nous dans les prochains combats.,Dobbiamo rubare i camion. Sono per noi di fondamentale importanza nel prossimo combattimento.
STRNG_106,没有一辆车到达它的目的地La Pessagne.,Keiner von ihnen darf seinen Bestimmungsort La Pessagne erreichen.,C'est pourquoi aucun d'entre eux ne doit parvenir ?La Pessagne son lieu de destination.,Per questo nessuno di voi pu?raggiungere il luogo di destinazione La Pessagne.
STRNG_107,…不但有步兵.,...und damit meine ich nicht nur Infanterie.,...et pas seulement l'infanterie.,...e cio?non solo la fanteria.
STRNG_108,好?继续行动.,Alles klar? Wir sollten dann aufbrechen.,Tout est clair ? Il faudrait nous mettre en route.,Tutto chiaro? Allora dovremmo avviarci.
STRNG_109,棒极了.这些卡车现在是我们的了.,Sehr gut. Die LKW`s sind in unserem Besitz.,Tr鑣 bon. Les camions sont en notre possession.,Molto bene. I camion sono in nostro possesso.
STRNG_110,并且多亏了这些弹药我们才能在与敌人的作战中更好的保护自己.,Dank der mitgef黨rten Munition haben wir in der n鋍hsten Zeit keine Versorgungsprobleme.,Et gr鈉e aux munitions nous allons pouvoir continuer ?faire face ?l'ennemi.,E grazie alle munizioni possiamo combattere contro il nemico.
STRNG_111,现在我们马上就可以进攻了.,Der Angriff kann schon bald beginnen.,Nous allons pouvoir bient魌 commencer ?assaillir l'ennemi.,L'attacco contro il nemico pu?iniziare presto.
STRNG_112,开火! ! !,FEUER ! ! !,FEU ! ! !,F U O C O ! ! !
STRNG_113,你把这一任务搞的一团糟.\n 你应该从中学到一些东西，然后再来一次!!,Sie haben versagt!\n Lernen sie daraus und versuchen sie es erneut!!!,Vous avez rat?la mission.\nTirez-en les le鏾ns puis retentez votre chance !!!,Ha fallito la missione.\nImpari la lezione e riprovi!!!
STRNG_114,我们的最后一个同志被残酷处决了.,Unsere Soldaten wurden hingerichtet.,Les derniers de nos soldats ont 閠?ex閏ut閟 atrocement.,I nostri ultimi soldati sono stati brutalmente giustiziati.
STRNG_458,任务 3 车队,Mission 3 Der Konvoi,Mission 3 Le convoi,Missione 3 Il convoglio
STRNG_459,请稍等,Positionsdaten werden aktualisiert,Les donn閑s de positionnement sont en cours d'actualisation.,I dati della posizione vengono aggiornati.
STRNG_460,你应该再试一次...,Sie versuchen es besser noch einmal....,Essayez encore une fois c'est ce que vous avez de mieux ?faire...,?meglio che riprovi....
STRNG_20000,偷到卡车,LKW's stehlen,Voler des camions,Rubare i camion
STRNG_20001,补给车队,LKW's abliefern,Livrer les camions,Consegnare i camion
STRNG_4000,抵抗组织营地,Widerstandslager,Camp de r閟istance,Campo dei ribelli
STRNG_4001,车队的起始点,Startpunkt des Konvois,Point de d閜art du convoi,Punto di partenza del convoglio
STRNG_4002,弹药补给,Munitionsdepot,D閜魌 de carburant,Deposito munizioni
STRNG_4003,车队的目的地,Ziel des Konvois,But du convoi,Obiettivo del convoglio
STRNG_4004,弹药车,Munitions-LKW,Camion ?munitions,Camion delle munizioni
